file,loc,authors,turbulence,total_commits,future_bug_within_30d,pattern_REACT_USEEFFECT_INLINE_OBJECT_DEPENDENCY_present,pattern_REACT_USEEFFECT_INLINE_FUNCTION_DEPENDENCY_present
src/components/AwwwardsFadeIn.tsx,74,1,168,4,1,1,1
src/components/CortexAuditLedger.tsx,169,1,441,9,1,1,1
src/components/CortexVisualizer.tsx,615,1,1427,12,1,1,1
src/components/GlassCard.tsx,35,1,84,4,1,0,0
src/components/TelemetryWidget.tsx,65,1,129,9,1,1,1
src/components/ImmuneSimulation.tsx,1173,1,1494,6,0,1,1
src/components/CortexVoice.tsx,128,1,140,3,1,1,1
src/lib/cortex-runtime/Engine.ts,61,1,71,4,1,0,0
src/lib/cortex-runtime/Fricton.ts,63,1,73,5,1,0,0
src/components/ItemMemorySimulation.tsx,180,1,182,3,1,0,0
src/components/ForenseUI.tsx,639,1,775,8,1,1,1
src/lib/CortexFriction.ts,56,1,72,3,1,0,0
src/components/MarketReality.tsx,64,1,146,5,1,0,0
packages/cortex-persist/src/engine.ts,304,1,304,1,0,0,0
packages/cortex-persist/src/friction.ts,226,1,230,2,1,0,0
packages/cortex-persist/src/index.ts,46,1,46,2,0,0,0
packages/cortex-persist/src/ledger.ts,365,1,371,2,1,0,0
packages/cortex-persist/src/middleware.ts,168,1,198,2,1,0,0
packages/cortex-persist/src/signer.ts,169,1,169,1,0,0,0
packages/cortex-persist/src/types.ts,233,1,235,2,1,0,0
packages/cortex-persist-langchain/src/callback.ts,187,1,203,2,1,0,0
packages/cortex-persist-langchain/src/index.ts,9,1,9,1,0,0,0
packages/cortex-persist-langchain/src/memory.ts,147,1,179,2,1,0,0
packages/cortex-persist-langchain/tests/langchain.test.ts,101,1,101,1,0,0,0
packages/cortex-persist/tests/sdk.test.ts,286,1,286,2,0,0,0
packages/cortex-persist/src/dogfooding.ts,123,1,123,1,0,0,0
scripts/cortex_dogfooding.js,54,1,54,1,0,0,0
scripts/ledger_adversarial_stress.js,112,1,166,3,1,0,0
src/services/telemetry.ts,141,1,6,2,0,0,0
src/components/EcosistemaCreadores.tsx,128,1,2216,4,0,0,0
src/components/GraficoEvolucionPrecios.tsx,113,1,535,3,0,0,0
src/components/PiramideDesconfianza.tsx,95,1,423,3,0,0,0
src/components/TrampaFiscal.tsx,94,1,482,2,0,0,0
tests/run-e2e.js,1097,1,1101,2,1,0,0
scripts/limerence_telemetry.js,138,1,144,2,0,0,0
scripts/a11y_cair_builder.js,172,1,172,1,0,0,0
src/cortex/ast/types.ts,19,1,19,1,0,0,0
src/cortex/cli/index.ts,27,1,29,2,0,0,0
src/cortex/engine/pipeline.ts,16,1,22,2,0,0,0
src/cortex/engine/runRules.ts,54,1,68,4,0,0,0
src/cortex/ledger/ledger.ts,107,1,129,6,1,0,0
src/cortex/parser/htmlParser.ts,43,1,45,2,0,0,0
src/cortex/rules/neutralizeTone.rule.ts,25,1,25,1,0,0,0
src/cortex/rules/types.ts,17,1,17,1,0,0,0
scripts/scl_sync.js,169,1,173,2,0,0,0
src/cortex/scl/scl.ts,177,1,199,2,0,0,0
tests/cortex-sanitizer.test.ts,100,1,100,1,0,0,0
scripts/a11y_shps.js,138,1,200,4,0,0,0
scripts/chaos_injector.ts,68,1,68,1,0,0,0
src/cortex/rules/auto_patch_20c84027.rule.ts,11,1,11,1,0,0,0
scripts/a11y_dag_lock.js,154,1,154,1,0,0,0
scripts/dom_invariant_check.js,84,1,84,1,0,0,0
src/cortex/gateway/executor.ts,69,1,155,4,0,0,0
src/cortex/gateway/index.ts,166,1,324,5,1,0,0
src/cortex/gateway/types.ts,55,1,91,4,1,0,0
src/cortex/gateway/validator.ts,19,1,89,3,0,0,0
src/cortex/cel/gate.ts,74,1,126,2,0,0,0
src/cortex/cel/kernel.ts,65,1,65,1,0,0,0
src/cortex/cel/proposer.ts,32,1,32,1,0,0,0
src/cortex/cel/formal_model.ts,58,1,148,2,0,0,0
tests/gateway-stability.test.ts,49,1,49,1,0,0,0
src/components/CoxCinematicRuntime.tsx,316,1,316,1,0,1,1
src/cortex/events/schema.ts,29,1,29,1,0,0,0
src/lib/cortex-runtime/ReplayEngine.ts,73,1,73,1,0,0,0
src/components/dvf/DvfRenderer.tsx,70,1,70,1,0,0,0
src/cortex/swarm/lyapunov.ts,52,1,100,2,0,0,0
src/cortex/swarm/scheduler.ts,41,1,125,2,0,0,0
src/components/dvf/DvfShader.ts,37,1,37,1,0,0,0
src/cortex/cel/lyapunov_registry.ts,131,1,131,1,0,0,0
src/cortex/seve/dag.ts,62,1,62,1,0,0,0
src/cortex/seve/fitness.ts,49,1,49,1,0,0,0
src/cortex/seve/hazard_compiler.ts,104,1,104,1,0,0,0
src/cortex/seve/index.ts,3,1,3,1,0,0,0
src/cortex/wasm/bridge.ts,76,1,76,1,0,0,0
src/cortex/wasm/capabilities.ts,21,1,21,1,0,0,0
src/cortex/adversarial/engine.ts,35,1,93,2,0,0,0
src/cortex/formal/verification.ts,36,1,36,1,0,0,0
src/cortex/memory/cml.ts,55,1,143,2,0,0,0
src/cortex/soul/kernel.ts,61,1,133,4,1,0,0
src/cortex/soul/proof_engine.ts,58,1,66,2,0,0,0
tests/vci_benchmark.test.ts,60,1,60,1,0,0,0
