Node,Centrality,Smoke_Index
statedept,0.2672,20.04
mariushobbhahn,0.2672,20.04
andrewrettek,0.2672,20.04
soniafpearson,0.2672,20.04
centerforhumanetechnology,0.2672,20.04
longerramblings,0.2672,20.04
arnoldkling,0.2672,20.04
justingarydesign,0.2672,20.04
alaskanrants,0.2672,20.04
joshuagans,0.2672,20.04
geometricinvestor,0.2672,20.04
outofcontrol,0.2672,20.04
srajagopalan,0.2672,20.04
therealartificialintelligence,0.1339,10.05
forecastingresearch,0.1339,10.05
freesystems,0.1339,10.05
agglomerations,0.1339,10.05
open,0.0013,0.07
thezvi,0.0013,0.07
paulkrugman,0.0013,0.07
importai,0.0007,0.03
aleximas,0.0007,0.03
claudeopus3,0.0007,0.03
abio,0.0007,0.03
aswathdamodaran,0.0007,0.03
stockquest,0.0007,0.03
avmarketstrategist,0.0007,0.03
selfdrivinginsights,0.0007,0.03
thetranscript,0.0007,0.03
corinnelow,0.0007,0.03
wondertools,0.0007,0.03
twotruths,0.0007,0.03
epochai,0.0007,0.03
econlab,0.0007,0.03
mliebreich,0.0007,0.03
asteriskmag,0.0007,0.03
thealgorithmicbridge,0.0,0.0
understandingai,0.0,0.0
garymarcus,0.0,0.0
aisupremacy,0.0,0.0
technosapiens,0.0,0.0
exponentialview,0.0,0.0
