repeat,adaptive_fitness,static_fitness,adaptive_entropy,static_entropy,meta_events,avg_rate_drift
0,-14.5,-14.5,0.9322645208172711,0.9322645208172711,0,0.0005302541864315468
1,-2,-2,0.9500889181732705,0.9500889181732705,0,0.007444797973158819
2,-3,-3,0.9344895997505763,0.9344895997505763,0,0.0018810111120375933
3,-19,-19,0.9494726650492696,0.9494726650492696,0,0.0019711494995906845
4,-3,-3,0.9465633200482183,0.9465633200482183,0,0.0012627480300090445
5,0,0,0.965452123595573,0.965452123595573,0,0.0003648145502436427
6,-21,-21,0.95367466725739,0.95367466725739,0,0.00022016887608493528
7,-22,-22,0.9281710846826323,0.9281710846826323,0,0.008795627136183943
8,-12.5,-12.5,0.9539337519507661,0.9539337519507661,0,0.00461080297603998
9,-22,-22,0.9644163508804118,0.9644163508804118,0,0.004072142187971123
