COMMAND     PID                 USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
python3.1 20957 borjafernandezangulo  cwd       DIR               1,13      3616           322505506 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist
python3.1 20957 borjafernandezangulo  txt       REG               1,13     49968           242981250 /Users/borjafernandezangulo/.local/share/uv/python/cpython-3.12.12-macos-aarch64-none/bin/python3.12
python3.1 20957 borjafernandezangulo  txt       REG               1,13     16832           369199041 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/cortex/utils/void_accel.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     73980           368444129 /Library/Preferences/Logging/.plist-cache.VTblPALK
python3.1 20957 borjafernandezangulo  txt       REG               1,13    154848           354002861 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/linalg/_umath_linalg.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   2300384 1152921500312563530 /usr/lib/dyld
python3.1 20957 borjafernandezangulo  txt       REG               1,13     61160           361677236 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/_watchdog_fsevents.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     73824           361682383 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/pybase64/_pybase64.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     70048           365335727 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/PIL/.dylibs/libXau.6.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    213008           353988912 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/_cffi_backend.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   1172304           361671233 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/bcrypt/_bcrypt.abi3.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    105920           361699356 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/psutil/_psutil_osx.abi3.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13  17864576           242983302 /Users/borjafernandezangulo/.local/share/uv/python/cpython-3.12.12-macos-aarch64-none/lib/libpython3.12.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13     32768           370676960 /Users/borjafernandezangulo/.cortex/cortex.db-shm
python3.1 20957 borjafernandezangulo  txt       REG               1,13   4219840           354024396 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/pydantic_core/_pydantic_core.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    234944           224097624 /private/var/db/timezone/tz/2025c.1.0/icutz/icutz44l.dat
python3.1 20957 borjafernandezangulo  txt       REG               1,13    253888           361699425 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/orjson/orjson.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   3678376           354008523 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/_core/_multiarray_umath.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    381768           361698930 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/yaml/_yaml.cpython-312-darwin.so
